ano,mes,sigla_uf,id_municipio,id_municipio_6,cnae_2_secao,cnae_2_subclasse,cbo_2002,saldo_movimentacao,categoria,grau_instrucao,idade,horas_contratuais,raca_cor,sexo,salario_mensal,tipo_empregador,tipo_estabelecimento,tipo_movimentacao,tipo_deficiencia,indicador_trabalho_intermitente,indicador_trabalho_parcial,tamanho_estabelecimento_janeiro,indicador_aprendiz,origem_informacao,indicador_fora_prazo
2020,10,AC,1200203,120020,Q,8640202,221205,-1,101,9,,,3,1,,0,1,31,0,0,0,5,0,1,1
2020,10,AC,1200401,120040,I,5620102,521140,1,999,7,,,6,3,,0,1,20,0,0,0,2,0,2,1
2020,10,AC,1200401,120040,H,4921301,121010,-1,101,80,,,1,1,,0,1,31,0,0,0,8,0,1,1
2020,10,AC,1200401,120040,F,4120400,715505,1,999,7,,,4,1,,0,1,20,0,0,0,1,0,2,1
2020,10,AC,1200401,120040,I,5620104,513505,-1,999,7,,,6,3,,0,1,31,0,0,0,2,0,2,1
2020,10,AC,1200401,120040,I,5620102,513610,1,999,7,,,6,1,,0,1,20,0,0,0,2,0,2,1
2020,10,AC,1200203,120020,Q,8640202,324205,-1,101,7,,,3,3,,0,1,31,0,0,0,5,0,1,1
2020,10,AC,1200500,120050,C,1610201,414210,1,101,6,,,3,1,,0,1,20,0,0,0,5,0,1,1
2020,10,AC,1200401,120040,F,4120400,122305,-1,101,7,,,6,1,,0,1,43,0,0,0,4,0,1,1
2020,10,AC,1200401,120040,G,4771701,521130,-1,999,7,,,6,3,,0,1,45,0,0,0,3,0,2,1
2020,10,AC,1200401,120040,G,4781400,521110,-1,101,7,,,3,3,,0,1,40,0,0,0,1,0,1,1
2020,10,AC,1200401,120040,G,4530703,411005,-1,103,7,,,1,1,,0,1,43,0,0,0,4,1,1,1
2020,10,AC,1200401,120040,G,4711301,782310,-1,999,7,,,6,1,,0,1,40,0,0,0,5,0,2,1
2020,10,AC,1200401,120040,N,8121400,422105,-1,999,7,,,9,3,,0,1,31,0,9,9,9,0,3,1
2020,10,AC,1200104,120010,C,1012101,784205,1,101,7,,,6,1,,0,1,20,0,0,0,7,0,1,1
2020,10,AC,1200385,120038,N,8121400,514320,-1,999,7,,,9,1,,0,1,31,0,9,9,8,0,3,1
2020,10,AC,1200401,120040,S,9420100,412205,-1,103,7,,,6,3,,0,1,43,0,0,0,5,1,2,1
2020,10,AC,1200401,120040,G,4723700,519110,1,101,7,,,6,1,,0,1,20,0,0,0,3,0,1,1
2020,10,AC,1200401,120040,M,7112000,717020,-1,101,3,,,6,1,,0,4,43,0,0,0,7,0,1,1
2020,10,AC,1200104,120010,G,4520004,731150,-1,999,7,,,6,1,,0,1,40,0,0,0,1,0,2,1
2020,10,AC,1200013,120001,G,4771701,521130,1,101,7,,,6,3,,0,1,20,0,0,0,2,0,1,1
2020,10,AC,1200401,120040,G,4724500,413110,1,999,8,,,3,1,,0,1,20,0,0,0,2,0,2,1
2020,10,AC,1200401,120040,G,4711301,521125,1,999,7,,,6,1,,0,1,20,0,0,0,1,0,2,1
2020,10,AC,1200104,120010,C,1012101,784205,1,101,7,,,6,1,,0,1,20,0,0,0,7,0,1,1
2020,10,AC,1200401,120040,H,4921301,914425,-1,101,7,,,3,1,,0,1,32,0,0,0,8,0,1,1
2020,10,AC,1200401,120040,F,4313400,717020,-1,101,7,,,6,1,,0,4,43,0,0,0,1,0,1,1
2020,10,AC,1200500,120050,N,8121400,411010,-1,999,7,,,9,1,,0,1,31,0,9,9,7,0,3,1
2020,10,AC,1200401,120040,F,4313400,717020,-1,101,7,,,6,1,,0,4,43,0,0,0,1,0,1,1
2020,10,AC,1200401,120040,F,4313400,717020,-1,101,7,,,6,1,,0,4,43,0,0,0,1,0,1,1
2020,10,AC,1200138,120013,N,8121400,517420,-1,101,7,,,6,1,,0,1,31,0,0,0,8,0,1,1
2020,10,AC,1200401,120040,G,4744099,421125,-1,101,7,,,6,3,,0,1,31,0,0,0,3,0,1,1
2020,10,AC,1200427,120042,A,119999,763125,1,101,7,,,3,1,,0,1,10,0,0,0,1,0,1,1
2020,10,AC,1200401,120040,F,4313400,717020,-1,101,7,,,6,1,,0,4,40,0,0,0,1,0,1,1
2020,10,AC,1200104,120010,C,1012103,784205,-1,101,7,,,6,1,,0,1,40,0,0,0,8,0,1,1
2020,10,AC,1200401,120040,M,7020400,724115,-1,999,7,,,3,1,,0,1,45,0,0,0,3,0,2,1
2020,10,AL,2707701,270770,P,8513900,231210,-1,101,9,,,3,3,,0,1,31,0,0,0,1,0,1,1
2020,10,AL,2707701,270770,P,8513900,331205,-1,101,9,,,3,1,,0,1,31,0,0,0,1,0,1,1
2020,10,AL,2704302,270430,Q,8610101,322205,-1,101,7,,,6,3,,0,1,31,0,0,0,1,0,1,1
2020,10,AL,2704302,270430,G,4721102,521125,1,101,7,,,3,1,,0,1,10,0,0,0,1,0,1,1
2020,10,AL,2708006,270800,G,4754701,521110,-1,999,7,,,6,3,,0,1,31,0,0,0,4,0,2,1
2020,10,AL,2704302,270430,I,5611202,411010,1,101,9,,,6,3,,0,1,20,0,0,0,5,0,1,1
2020,10,AL,2707305,270730,G,4712100,521140,1,101,7,,,3,3,,0,1,20,0,0,0,1,0,1,1
2020,10,AL,2705101,270510,H,4929901,782410,1,101,6,,,3,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AL,2706448,270644,M,7112000,301110,1,101,7,,,6,1,,0,1,20,0,0,0,3,0,1,1
2020,10,AL,2707701,270770,C,1091102,521140,1,101,7,,,6,3,,0,1,20,0,0,0,1,0,1,1
2020,10,AL,2704302,270430,M,6920601,411010,1,101,9,,,3,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AL,2704302,270430,G,4712100,521125,1,101,7,,,3,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AL,2704302,270430,I,5611201,513505,1,101,7,,,6,3,,0,1,20,0,0,0,1,0,1,1
2020,10,AL,2702405,270240,C,1091102,848310,1,101,7,,,3,3,,0,1,20,0,0,0,1,0,1,1
2020,10,AL,2704302,270430,C,1121600,421125,1,101,7,,,6,3,,0,1,20,0,0,0,1,0,1,1
2020,10,AL,2704302,270430,Q,8610102,223505,1,101,9,,,1,3,,0,1,20,0,0,0,1,0,1,1
2020,10,AL,2704302,270430,G,4754701,521110,1,101,7,,,3,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AL,2704302,270430,G,4723700,782310,1,101,7,,,3,1,,0,1,20,0,0,0,3,0,1,1
2020,10,AL,2700300,270030,G,4632001,521110,1,101,5,,,3,1,,0,1,20,0,0,0,1,0,1,1
2020,10,AL,2704302,270430,G,4744099,410105,-1,101,7,,,3,1,,0,1,31,0,0,0,5,0,1,1
2020,10,AL,2704302,270430,N,8220200,422310,-1,999,7,,,3,1,,0,1,31,0,0,0,10,0,2,1
2020,10,AL,2704302,270430,G,4744099,782130,-1,101,7,,,3,1,,0,1,31,0,0,0,5,0,1,1
